GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
NR-Punjab-PV,2025,1491641,21001,.
NR-Punjab-PV,2035,895321,15022,.
NR-Punjab-PV,2045,753705,13510,.
NR-Punjab-PV_EP,2022,1491641,21001,.
NR-Punjab-Onshore,2025,1569099,31251,.
NR-Punjab-Onshore,2035,1344692,28261,.
NR-Punjab-Onshore,2045,1188169,26256,.
NR-Punjab-Onshore_EP,2022,1569099,31251,.
NR-Punjab-Battery,2025,0,38777,427850.75
NR-Punjab-Battery,2035,0,29997,336849
NR-Punjab-Battery,2045,0,24986,284904.75
NR-Rajasthan-Run-of-River_EP,2025,3241336,92000,.
NR-Rajasthan-Run-of-River_EP,2035,3241336,92000,.
NR-Rajasthan-Run-of-River_EP,2045,3111470,88000,.
NR-Rajasthan-Run-of-River_EP,2022,3241336,92000,.
NR-Rajasthan-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Rajasthan-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Rajasthan-RoR-with Pondage_EP,2045,3111470,88000,.
NR-Rajasthan-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Rajasthan-Storage_EP,2025,3241336,92000,.
NR-Rajasthan-Storage_EP,2035,3241336,92000,.
NR-Rajasthan-Storage_EP,2045,3111470,88000,.
NR-Rajasthan-Storage_EP,2022,3241336,92000,.
NR-Rajasthan-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Rajasthan-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Rajasthan-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Rajasthan-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Rajasthan-PV,2025,1491641,21001,.
NR-Rajasthan-PV,2035,895321,15022,.
NR-Rajasthan-PV,2045,753705,13510,.
NR-Rajasthan-PV_EP,2022,1491641,21001,.
NR-Rajasthan-Onshore,2025,1569099,31251,.
NR-Rajasthan-Onshore,2035,1344692,28261,.
NR-Rajasthan-Onshore,2045,1188169,26256,.
NR-Rajasthan-Onshore_EP,2022,1569099,31251,.
NR-Rajasthan-Battery,2025,0,38777,427850.75
NR-Rajasthan-Battery,2035,0,29997,336849
NR-Rajasthan-Battery,2045,0,24986,284904.75
NR-Uttarakhand-Run-of-River_EP,2025,3241336,92000,.
NR-Uttarakhand-Run-of-River_EP,2035,3241336,92000,.
NR-Uttarakhand-Run-of-River_EP,2045,3111470,88000,.
NR-Uttarakhand-Run-of-River_EP,2022,3241336,92000,.
NR-Uttarakhand-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Uttarakhand-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Uttarakhand-RoR-with Pondage_EP,2045,3111470,88000,.
NR-Uttarakhand-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Uttarakhand-Storage_EP,2025,3241336,92000,.
NR-Uttarakhand-Storage_EP,2035,3241336,92000,.
NR-Uttarakhand-Storage_EP,2045,3111470,88000,.
NR-Uttarakhand-Storage_EP,2022,3241336,92000,.
NR-Uttarakhand-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Uttarakhand-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Uttarakhand-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Uttarakhand-Pumped Storage_EP,2022,0,20150,244774.5806
NR-Uttarakhand-PV,2025,1491641,21001,.
NR-Uttarakhand-PV,2035,895321,15022,.
NR-Uttarakhand-PV,2045,753705,13510,.
NR-Uttarakhand-PV_EP,2022,1491641,21001,.
NR-Uttarakhand-Onshore,2025,1569099,31251,.
NR-Uttarakhand-Onshore,2035,1344692,28261,.
NR-Uttarakhand-Onshore,2045,1188169,26256,.
NR-Uttarakhand-Onshore_EP,2022,1569099,31251,.
NR-Uttarakhand-Battery,2025,0,38777,427850.75
NR-Uttarakhand-Battery,2035,0,29997,336849
NR-Uttarakhand-Battery,2045,0,24986,284904.75
NR-UttarPradesh-Run-of-River_EP,2025,3241336,92000,.
NR-UttarPradesh-Run-of-River_EP,2035,3241336,92000,.
NR-UttarPradesh-Run-of-River_EP,2045,3111470,88000,.
NR-UttarPradesh-Run-of-River_EP,2022,3241336,92000,.
NR-UttarPradesh-RoR-with Pondage_EP,2025,3241336,92000,.
NR-UttarPradesh-RoR-with Pondage_EP,2035,3241336,92000,.
NR-UttarPradesh-RoR-with Pondage_EP,2045,3111470,88000,.
NR-UttarPradesh-RoR-with Pondage_EP,2022,3241336,92000,.
NR-UttarPradesh-Storage_EP,2025,3241336,92000,.
NR-UttarPradesh-Storage_EP,2035,3241336,92000,.
NR-UttarPradesh-Storage_EP,2045,3111470,88000,.
NR-UttarPradesh-Storage_EP,2022,3241336,92000,.
NR-UttarPradesh-Pumped Storage_EP,2025,0,20150,244774.5806
NR-UttarPradesh-Pumped Storage_EP,2035,0,20150,244774.5806
NR-UttarPradesh-Pumped Storage_EP,2045,0,20150,244774.5806
NR-UttarPradesh-Pumped Storage_EP,2022,0,20150,244774.5806
NR-UttarPradesh-PV,2025,1491641,21001,.
NR-UttarPradesh-PV,2035,895321,15022,.
NR-UttarPradesh-PV,2045,753705,13510,.
NR-UttarPradesh-PV_EP,2022,1491641,21001,.
NR-UttarPradesh-Onshore,2025,1569099,31251,.
NR-UttarPradesh-Onshore,2035,1344692,28261,.
NR-UttarPradesh-Onshore,2045,1188169,26256,.
NR-UttarPradesh-Onshore_EP,2022,1569099,31251,.
NR-UttarPradesh-Battery,2025,0,38777,427850.75
