GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Gansu-Wind_EP-ep,2022,12821.3,1
Guangdong-Central_PV_EP-ep,2022,3320,1
Guangdong-Hydro_NonPumped-ep,2022,12379.06,1
Guangdong-Hydro_Pumped-ep,2022,12970.75,1
Guangdong-Wind_EP-ep,2022,3452.9,1
Guangxi-Central_PV_EP-ep,2022,690.2,1
Guangxi-Hydro_NonPumped-ep,2022,15480.97,1
Guangxi-Wind_EP-ep,2022,1694.4,1
Guizhou-Central_PV_EP-ep,2022,1551.8,1
Guizhou-Hydro_NonPumped-ep,2022,20492.67,1
Guizhou-Wind_EP-ep,2022,3688.8,1
Hainan-Central_PV_EP-ep,2022,418,1
Hainan-Hydro_NonPumped-ep,2022,1395.49,1
Hainan-Hydro_Pumped-ep,2022,400,1
Hainan-Wind_EP-ep,2022,314.5,1
Hebei-Central_PV_EP-ep,2022,8813.1,1
Hebei-Hydro_NonPumped-ep,2022,1615.46,1
Hebei-Hydro_Pumped-ep,2022,8739.45,1
Hebei-Wind_EP-ep,2022,11876.6,1
Heilongjiang-Central_PV_EP-ep,2022,941.3,1
Heilongjiang-Hydro_NonPumped-ep,2022,794.58,1
Heilongjiang-Hydro_Pumped-ep,2022,1200,1
Heilongjiang-Wind_EP-ep,2022,5704.5,1
Henan-Central_PV_EP-ep,2022,7034.6,1
Henan-Hydro_NonPumped-ep,2022,3795.72,1
Henan-Hydro_Pumped-ep,2022,1320,1
Henan-Wind_EP-ep,2022,2330.7,1
Hubei-Central_PV_EP-ep,2022,4134.5,1
Hubei-Hydro_NonPumped-ep,2022,35125.38,1
Hubei-Hydro_Pumped-ep,2022,1380.88,1
Hubei-Wind_EP-ep,2022,2528.3,1
Hunan-Central_PV_EP-ep,2022,1756.9,1
Hunan-Hydro_NonPumped-ep,2022,14111.33,1
Hunan-Wind_EP-ep,2022,2634.7,1
Jiangsu-Central_PV_EP-ep,2022,9073.1,1
Jiangsu-Hydro_NonPumped-ep,2022,2648.72,1
Jiangsu-Hydro_Pumped-ep,2022,3542.4,1
Jiangsu-Wind_EP-ep,2022,6555.6,1
Jiangxi-Central_PV_EP-ep,2022,4494,1
Jiangxi-Hydro_NonPumped-ep,2022,5616.62,1
Jiangxi-Hydro_Pumped-ep,2022,1200,1
Jiangxi-Wind_EP-ep,2022,1688.2,1
Jilin-Central_PV_EP-ep,2022,1592.3,1
Jilin-Hydro_NonPumped-ep,2022,4601.83,1
Jilin-Hydro_Pumped-ep,2022,1700,1
Jilin-Wind_EP-ep,2022,5046.8,1
Liaoning-Central_PV_EP-ep,2022,2225.6,1
Liaoning-Hydro_NonPumped-ep,2022,2720.77,1
Liaoning-Hydro_Pumped-ep,2022,3000,1
Liaoning-Wind_EP-ep,2022,7106.4,1
Ningxia-Central_PV_EP-ep,2022,6201.7,1
Ningxia-Hydro_NonPumped-ep,2022,333.19,1
Ningxia-Wind_EP-ep,2022,9416.2,1
Qinghai-Central_PV_EP-ep,2022,7914.7,1
Qinghai-Hydro_NonPumped-ep,2022,11423.4,1
Qinghai-Wind_EP-ep,2022,1620,1
Shaanxi-Central_PV_EP-ep,2022,5340.8,1
Shaanxi-Hydro_NonPumped-ep,2022,3732.87,1
Shaanxi-Hydro_Pumped-ep,2022,1400,1
Shaanxi-Wind_EP-ep,2022,3634.4,1
Shandong-Central_PV_EP-ep,2022,10523.1,1
Shandong-Hydro_NonPumped-ep,2022,1089.64,1
Shandong-Hydro_Pumped-ep,2022,4000,1
Shandong-Wind_EP-ep,2022,10611.4,1
Shanghai-Central_PV_EP-ep,2022,578.1,1
Shanghai-Wind_EP-ep,2022,711.9,1
Shanxi-Central_PV_EP-ep,2022,5903.8,1
Shanxi-Hydro_NonPumped-ep,2022,2506.49,1
Shanxi-Hydro_Pumped-ep,2022,2485.18,1
Shanxi-Wind_EP-ep,2022,8716.3,1
Sichuan-Central_PV_EP-ep,2022,1347.5,1
Sichuan-Hydro_NonPumped-ep,2022,95660.56,1
Sichuan-Hydro_Pumped-ep,2022,2,1
Sichuan-Wind_EP-ep,2022,2104.5,1
Tianjin-Central_PV_EP-ep,2022,678.4,1
Tianjin-Hydro_NonPumped-ep,2022,16.89,1
Tianjin-Wind_EP-ep,2022,285.5,1
Tibet-Hydro_NonPumped-ep,2022,2662.7,1
Tibet-Hydro_Pumped-ep,2022,90,1
West_Inner_Mongolia-Central_PV_EP-ep,2022,5241.73,1
West_Inner_Mongolia-Hydro_NonPumped-ep,2022,1731.23,1
West_Inner_Mongolia-Hydro_Pumped-ep,2022,1285.18,1
West_Inner_Mongolia-Wind_EP-ep,2022,18849.05,1
Xinjiang-Central_PV_EP-ep,2022,9340.4,1
Xinjiang-Hydro_NonPumped-ep,2022,6423.68,1
Xinjiang-Hydro_Pumped-ep,2022,1200,1
Xinjiang-Wind_EP-ep,2022,18059.3,1
Yunnan-Central_PV_EP-ep,2022,2331,1
Yunnan-Hydro_NonPumped-ep,2022,77107.13,1
Yunnan-Wind_EP-ep,2022,8186.5,1
Zhejiang-Central_PV_EP-ep,2022,8137,1
Zhejiang-Hydro_NonPumped-ep,2022,10404.67,1
Zhejiang-Hydro_Pumped-ep,2022,7322.59,1
Zhejiang-Wind_EP-ep,2022,1329.9,1
