hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Hainan-Hydro_NonPumped-ep,2050.04.29,0,747
Hainan-Hydro_NonPumped-ep,2050.07.23,0,2406
Hainan-Hydro_NonPumped-ep,2050.10.22,0,830
Hebei-Hydro_NonPumped-ep,2030.01.28,0,298
Hebei-Hydro_NonPumped-ep,2030.04.15,0,209
Hebei-Hydro_NonPumped-ep,2030.07.01,0,932
Hebei-Hydro_NonPumped-ep,2030.10.31,0,548
Hebei-Hydro_NonPumped-ep,2040.01.02,0,333
Hebei-Hydro_NonPumped-ep,2040.04.19,0,235
Hebei-Hydro_NonPumped-ep,2040.07.24,0,1044
Hebei-Hydro_NonPumped-ep,2040.10.13,0,615
Hebei-Hydro_NonPumped-ep,2050.01.04,0,370
Hebei-Hydro_NonPumped-ep,2050.04.29,0,260
Hebei-Hydro_NonPumped-ep,2050.07.23,0,1158
Hebei-Hydro_NonPumped-ep,2050.10.22,0,682
Heilongjiang-Hydro_NonPumped-ep,2030.01.28,0,146
Heilongjiang-Hydro_NonPumped-ep,2030.04.15,0,332
Heilongjiang-Hydro_NonPumped-ep,2030.07.01,0,665
Heilongjiang-Hydro_NonPumped-ep,2030.10.31,0,701
Heilongjiang-Hydro_NonPumped-ep,2040.01.02,0,164
Heilongjiang-Hydro_NonPumped-ep,2040.04.19,0,373
Heilongjiang-Hydro_NonPumped-ep,2040.07.24,0,746
Heilongjiang-Hydro_NonPumped-ep,2040.10.13,0,786
Heilongjiang-Hydro_NonPumped-ep,2050.01.04,0,182
Heilongjiang-Hydro_NonPumped-ep,2050.04.29,0,414
Heilongjiang-Hydro_NonPumped-ep,2050.07.23,0,827
Heilongjiang-Hydro_NonPumped-ep,2050.10.22,0,872
Henan-Hydro_NonPumped-ep,2030.01.28,0,1243
Henan-Hydro_NonPumped-ep,2030.04.15,0,2363
Henan-Hydro_NonPumped-ep,2030.07.01,0,4055
Henan-Hydro_NonPumped-ep,2030.10.31,0,4465
Henan-Hydro_NonPumped-ep,2040.01.02,0,1394
Henan-Hydro_NonPumped-ep,2040.04.19,0,2648
Henan-Hydro_NonPumped-ep,2040.07.24,0,4544
Henan-Hydro_NonPumped-ep,2040.10.13,0,5005
Henan-Hydro_NonPumped-ep,2050.01.04,0,1545
Henan-Hydro_NonPumped-ep,2050.04.29,0,2937
Henan-Hydro_NonPumped-ep,2050.07.23,0,5041
Henan-Hydro_NonPumped-ep,2050.10.22,0,5551
Hubei-Hydro_NonPumped-ep,2030.01.28,0,9828
Hubei-Hydro_NonPumped-ep,2030.04.15,0,19945
Hubei-Hydro_NonPumped-ep,2030.07.01,0,48694
Hubei-Hydro_NonPumped-ep,2030.10.31,0,37630
Hubei-Hydro_NonPumped-ep,2040.01.02,0,11015
Hubei-Hydro_NonPumped-ep,2040.04.19,0,22355
Hubei-Hydro_NonPumped-ep,2040.07.24,0,54579
Hubei-Hydro_NonPumped-ep,2040.10.13,0,42178
Hubei-Hydro_NonPumped-ep,2050.01.04,0,12219
Hubei-Hydro_NonPumped-ep,2050.04.29,0,24799
Hubei-Hydro_NonPumped-ep,2050.07.23,0,60546
Hubei-Hydro_NonPumped-ep,2050.10.22,0,46789
Hunan-Hydro_NonPumped-ep,2030.01.28,0,3481
Hunan-Hydro_NonPumped-ep,2030.04.15,0,16132
Hunan-Hydro_NonPumped-ep,2030.07.01,0,9109
Hunan-Hydro_NonPumped-ep,2030.10.31,0,4537
Hunan-Hydro_NonPumped-ep,2040.01.02,0,3902
Hunan-Hydro_NonPumped-ep,2040.04.19,0,18081
Hunan-Hydro_NonPumped-ep,2040.07.24,0,10211
Hunan-Hydro_NonPumped-ep,2040.10.13,0,5086
Hunan-Hydro_NonPumped-ep,2050.01.04,0,4328
Hunan-Hydro_NonPumped-ep,2050.04.29,0,20059
Hunan-Hydro_NonPumped-ep,2050.07.23,0,11327
Hunan-Hydro_NonPumped-ep,2050.10.22,0,5642
Jiangsu-Hydro_NonPumped-ep,2030.01.28,0,306
Jiangsu-Hydro_NonPumped-ep,2030.04.15,0,748
Jiangsu-Hydro_NonPumped-ep,2030.07.01,0,3672
Jiangsu-Hydro_NonPumped-ep,2030.10.31,0,911
Jiangsu-Hydro_NonPumped-ep,2040.01.02,0,343
Jiangsu-Hydro_NonPumped-ep,2040.04.19,0,839
Jiangsu-Hydro_NonPumped-ep,2040.07.24,0,4115
Jiangsu-Hydro_NonPumped-ep,2040.10.13,0,1021
Jiangsu-Hydro_NonPumped-ep,2050.01.04,0,381
Jiangsu-Hydro_NonPumped-ep,2050.04.29,0,931
Jiangsu-Hydro_NonPumped-ep,2050.07.23,0,4565
Jiangsu-Hydro_NonPumped-ep,2050.10.22,0,1132
Jiangxi-Hydro_NonPumped-ep,2030.01.28,0,1449
Jiangxi-Hydro_NonPumped-ep,2030.04.15,0,6264
Jiangxi-Hydro_NonPumped-ep,2030.07.01,0,4542
Jiangxi-Hydro_NonPumped-ep,2030.10.31,0,1949
Jiangxi-Hydro_NonPumped-ep,2040.01.02,0,1625
Jiangxi-Hydro_NonPumped-ep,2040.04.19,0,7022
Jiangxi-Hydro_NonPumped-ep,2040.07.24,0,5091
Jiangxi-Hydro_NonPumped-ep,2040.10.13,0,2184
Jiangxi-Hydro_NonPumped-ep,2050.01.04,0,1802
Jiangxi-Hydro_NonPumped-ep,2050.04.29,0,7789
Jiangxi-Hydro_NonPumped-ep,2050.07.23,0,5647
Jiangxi-Hydro_NonPumped-ep,2050.10.22,0,2423
Jilin-Hydro_NonPumped-ep,2030.01.28,0,847
Jilin-Hydro_NonPumped-ep,2030.04.15,0,1928
Jilin-Hydro_NonPumped-ep,2030.07.01,0,3852
Jilin-Hydro_NonPumped-ep,2030.10.31,0,4058
Jilin-Hydro_NonPumped-ep,2040.01.02,0,949
Jilin-Hydro_NonPumped-ep,2040.04.19,0,2161
Jilin-Hydro_NonPumped-ep,2040.07.24,0,4316
Jilin-Hydro_NonPumped-ep,2040.10.13,0,4549
Jilin-Hydro_NonPumped-ep,2050.01.04,0,1053
Jilin-Hydro_NonPumped-ep,2050.04.29,0,2397
Jilin-Hydro_NonPumped-ep,2050.07.23,0,4789
