GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Guizhou-EP_Coal_300_RC,0.4,9.169750000000002
Guizhou-EP_Coal_300_RC,1.0,8.529999999999998
Guizhou-EP_Coal_600_RC,0.4,8.524750000000001
Guizhou-EP_Coal_600_RC,1.0,7.9300000000000015
Guizhou-Gas_CCGT_RC,0.45,9.64548
Guizhou-Gas_CCGT_RC,1.0,7.02
Guizhou-Gas_Combustion_Turbine_RC,0.4,11.03368
Guizhou-Gas_Combustion_Turbine_RC,1.0,9.76
Hainan-Coal_1000_RC,0.4,8.471
Hainan-Coal_1000_RC,1.0,7.88
Hainan-Coal_1000_SEA,0.4,8.471
Hainan-Coal_1000_SEA,1.0,7.88
Hainan-Coal_100_SEA,0.4,9.81475
Hainan-Coal_100_SEA,1.0,9.13
Hainan-Coal_300_RC,0.4,9.589
Hainan-Coal_300_RC,1.0,8.92
Hainan-Coal_300_SEA,0.4,9.589
Hainan-Coal_300_SEA,1.0,8.92
Hainan-Coal_600_RC,0.4,9.08375
Hainan-Coal_600_RC,1.0,8.45
Hainan-Coal_600_SEA,0.4,9.08375
Hainan-Coal_600_SEA,1.0,8.45
Hainan-Coal_IGCC_RC,0.4,12.75715
Hainan-Coal_IGCC_RC,1.0,8.89
Hainan-Coal_Small_SEA,0.4,10.3845
Hainan-Coal_Small_SEA,1.0,9.66
Hainan-EP_Coal_300_SEA,0.4,9.16975
Hainan-EP_Coal_300_SEA,1.0,8.53
Hainan-EP_Gas_CCGT_RC,0.45,9.42564
Hainan-EP_Gas_CCGT_RC,1.0,6.86
Hainan-EP_Gas_CCGT_SEA,0.45,8.68368
Hainan-EP_Gas_CCGT_SEA,1.0,6.32
Hainan-Gas_CCGT_RC,0.45,9.64548
Hainan-Gas_CCGT_RC,1.0,7.02
Hainan-Gas_CCGT_SEA,0.45,8.88978
Hainan-Gas_CCGT_SEA,1.0,6.47
Hainan-Gas_Combustion_Turbine_RC,0.4,11.03368
Hainan-Gas_Combustion_Turbine_RC,1.0,9.76
Hebei-Coal_1000_DRY,0.4,8.9225
Hebei-Coal_1000_DRY,1.0,8.3
Hebei-Coal_1000_OT,0.4,8.471
Hebei-Coal_1000_OT,1.0,7.88
Hebei-Coal_1000_RC,0.4,8.471
Hebei-Coal_1000_RC,1.0,7.88
Hebei-Coal_1000_SEA,0.4,8.471
Hebei-Coal_1000_SEA,1.0,7.88
Hebei-Coal_100_OT,0.4,9.814750000000002
Hebei-Coal_100_OT,1.0,9.13
Hebei-Coal_100_RC,0.4,9.739499999999996
Hebei-Coal_100_RC,1.0,9.06
Hebei-Coal_100_SEA,0.4,9.81475
Hebei-Coal_100_SEA,1.0,9.13
Hebei-Coal_300_DRY,0.4,10.07275
Hebei-Coal_300_DRY,1.0,9.37
Hebei-Coal_300_OT,0.4,9.589
Hebei-Coal_300_OT,1.0,8.92
Hebei-Coal_300_RC,0.4,9.589
Hebei-Coal_300_RC,1.0,8.92
Hebei-Coal_300_SEA,0.4,9.589
