GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Xinjiang-Coal_1000_DRY,1.0,8.3
Xinjiang-Coal_1000_RC,0.4,8.471
Xinjiang-Coal_1000_RC,1.0,7.88
Xinjiang-Coal_100_DRY,0.4,10.15875
Xinjiang-Coal_100_DRY,1.0,9.45
Xinjiang-Coal_100_RC,0.4,9.7395
Xinjiang-Coal_100_RC,1.0,9.06
Xinjiang-Coal_300_DRY,0.4,10.07275
Xinjiang-Coal_300_DRY,1.0,9.37
Xinjiang-Coal_300_RC,0.4,9.589
Xinjiang-Coal_300_RC,1.0,8.92
Xinjiang-Coal_600_DRY,0.4,9.6105
Xinjiang-Coal_600_DRY,1.0,8.94
Xinjiang-Coal_600_RC,0.4,9.08375
Xinjiang-Coal_600_RC,1.0,8.45
Xinjiang-Coal_IGCC_RC,0.4,12.75715
Xinjiang-Coal_IGCC_RC,1.0,8.89
Xinjiang-Coal_Small_DRY,0.4,10.8145
Xinjiang-Coal_Small_DRY,1.0,10.06
Xinjiang-Coal_Small_RC,0.4,10.406
Xinjiang-Coal_Small_RC,1.0,9.68
Xinjiang-EP_Coal_1000_DRY,0.4,8.41725
Xinjiang-EP_Coal_1000_DRY,1.0,7.83
Xinjiang-EP_Coal_300_DRY,0.4,9.460000000000004
Xinjiang-EP_Coal_300_DRY,1.0,8.799999999999997
Xinjiang-EP_Coal_300_RC,0.4,9.16975
Xinjiang-EP_Coal_300_RC,1.0,8.53
Xinjiang-EP_Coal_600_DRY,0.4,8.879500000000002
Xinjiang-EP_Coal_600_DRY,1.0,8.26
Xinjiang-EP_Gas_CCGT_RC,0.45,9.42564
Xinjiang-EP_Gas_CCGT_RC,1.0,6.86
Xinjiang-Gas_CCGT_RC,0.45,9.64548
Xinjiang-Gas_CCGT_RC,1.0,7.02
Xinjiang-Gas_Combustion_Turbine_RC,0.4,11.03368
Xinjiang-Gas_Combustion_Turbine_RC,1.0,9.76
Yunnan-Coal_1000_RC,0.4,8.471
Yunnan-Coal_1000_RC,1.0,7.88
Yunnan-Coal_100_RC,0.4,9.7395
Yunnan-Coal_100_RC,1.0,9.06
Yunnan-Coal_300_RC,0.4,9.589
Yunnan-Coal_300_RC,1.0,8.92
Yunnan-Coal_600_RC,0.4,9.08375
Yunnan-Coal_600_RC,1.0,8.45
Yunnan-Coal_IGCC_RC,0.4,12.75715
Yunnan-Coal_IGCC_RC,1.0,8.89
Yunnan-Coal_Small_RC,0.4,10.406
Yunnan-Coal_Small_RC,1.0,9.68
Yunnan-EP_Coal_300_RC,0.4,9.16975
Yunnan-EP_Coal_300_RC,1.0,8.53
Yunnan-EP_Coal_600_RC,0.4,8.52475
Yunnan-EP_Coal_600_RC,1.0,7.9300000000000015
Yunnan-Gas_CCGT_RC,0.45,9.64548
Yunnan-Gas_CCGT_RC,1.0,7.02
Yunnan-Gas_Combustion_Turbine_RC,0.4,11.03368
Yunnan-Gas_Combustion_Turbine_RC,1.0,9.76
Zhejiang-Coal_1000_OT,0.4,8.471
Zhejiang-Coal_1000_OT,1.0,7.88
Zhejiang-Coal_1000_RC,0.4,8.471
Zhejiang-Coal_1000_RC,1.0,7.88
Zhejiang-Coal_1000_SEA,0.4,8.471
Zhejiang-Coal_1000_SEA,1.0,7.88
Zhejiang-Coal_100_OT,0.4,9.81475
Zhejiang-Coal_100_OT,1.0,9.13
Zhejiang-Coal_100_RC,0.4,9.7395
Zhejiang-Coal_100_RC,1.0,9.06
Zhejiang-Coal_100_SEA,0.4,9.81475
Zhejiang-Coal_100_SEA,1.0,9.13
Zhejiang-Coal_300_OT,0.4,9.589
Zhejiang-Coal_300_OT,1.0,8.92
Zhejiang-Coal_300_RC,0.4,9.589
Zhejiang-Coal_300_RC,1.0,8.92
Zhejiang-Coal_300_SEA,0.4,9.589
Zhejiang-Coal_300_SEA,1.0,8.92
Zhejiang-Coal_600_OT,0.4,9.08375
Zhejiang-Coal_600_OT,1.0,8.45
Zhejiang-Coal_600_RC,0.4,9.08375
Zhejiang-Coal_600_RC,1.0,8.45
Zhejiang-Coal_600_SEA,0.4,9.08375
Zhejiang-Coal_600_SEA,1.0,8.45
Zhejiang-Coal_IGCC_RC,0.4,12.75715
Zhejiang-Coal_IGCC_RC,1.0,8.89
Zhejiang-Coal_Small_OT,0.4,10.3845
Zhejiang-Coal_Small_OT,1.0,9.66
Zhejiang-Coal_Small_RC,0.4,10.406
Zhejiang-Coal_Small_RC,1.0,9.68
Zhejiang-Coal_Small_SEA,0.4,10.3845
Zhejiang-Coal_Small_SEA,1.0,9.66
Zhejiang-EP_Coal_1000_RC,0.4,8.2345
Zhejiang-EP_Coal_1000_RC,1.0,7.66
Zhejiang-EP_Coal_1000_SEA,0.4,8.2345
Zhejiang-EP_Coal_1000_SEA,1.0,7.66
Zhejiang-EP_Coal_300_OT,0.4,9.16975
Zhejiang-EP_Coal_300_OT,1.0,8.53
Zhejiang-EP_Coal_300_RC,0.4,9.16975
Zhejiang-EP_Coal_300_RC,1.0,8.53
Zhejiang-EP_Coal_300_SEA,0.4,9.16975
Zhejiang-EP_Coal_300_SEA,1.0,8.53
Zhejiang-EP_Coal_600_RC,0.4,8.52475
Zhejiang-EP_Coal_600_RC,1.0,7.93
Zhejiang-EP_Coal_600_SEA,0.4,8.524750000000001
Zhejiang-EP_Coal_600_SEA,1.0,7.93
Zhejiang-EP_Gas_CCGT_OT,0.45,8.68368
Zhejiang-EP_Gas_CCGT_OT,1.0,6.32
Zhejiang-EP_Gas_CCGT_RC,0.45,9.425639999999998
Zhejiang-EP_Gas_CCGT_RC,1.0,6.860000000000001
Zhejiang-EP_Gas_CCGT_SEA,0.45,8.68368
Zhejiang-EP_Gas_CCGT_SEA,1.0,6.32
Zhejiang-Gas_CCGT_OT,0.45,8.88978
Zhejiang-Gas_CCGT_OT,1.0,6.47
Zhejiang-Gas_CCGT_RC,0.45,9.64548
Zhejiang-Gas_CCGT_RC,1.0,7.02
Zhejiang-Gas_CCGT_SEA,0.45,8.88978
Zhejiang-Gas_CCGT_SEA,1.0,6.47
Zhejiang-Gas_Combustion_Turbine_RC,0.4,11.03368
Zhejiang-Gas_Combustion_Turbine_RC,1.0,9.76
