GENERATION_PROJECT,timepoint,gen_max_capacity_factor
ER-Odisha-PV,2030.04.15.14.00,0.5635
ER-Odisha-PV,2030.04.15.15.00,0.396
ER-Odisha-PV,2030.04.15.16.00,0.2
ER-Odisha-PV,2030.04.15.17.00,0.052
ER-Odisha-PV,2030.04.15.18.00,0.001
ER-Odisha-PV,2030.04.15.19.00,0
ER-Odisha-PV,2030.04.15.20.00,0
ER-Odisha-PV,2030.04.15.21.00,0
ER-Odisha-PV,2030.04.15.22.00,0
ER-Odisha-PV,2030.04.15.23.00,0
ER-Odisha-PV,2030.07.01.00.00,0
ER-Odisha-PV,2030.07.01.01.00,0
ER-Odisha-PV,2030.07.01.02.00,0
ER-Odisha-PV,2030.07.01.03.00,0
ER-Odisha-PV,2030.07.01.04.00,0
ER-Odisha-PV,2030.07.01.05.00,0.0155
ER-Odisha-PV,2030.07.01.06.00,0.077
ER-Odisha-PV,2030.07.01.07.00,0.1765
ER-Odisha-PV,2030.07.01.08.00,0.2855
ER-Odisha-PV,2030.07.01.09.00,0.394
ER-Odisha-PV,2030.07.01.10.00,0.488
ER-Odisha-PV,2030.07.01.11.00,0.5615
ER-Odisha-PV,2030.07.01.12.00,0.588
ER-Odisha-PV,2030.07.01.13.00,0.551
ER-Odisha-PV,2030.07.01.14.00,0.4625
ER-Odisha-PV,2030.07.01.15.00,0.344
ER-Odisha-PV,2030.07.01.16.00,0.209
ER-Odisha-PV,2030.07.01.17.00,0.0755
ER-Odisha-PV,2030.07.01.18.00,0.008
ER-Odisha-PV,2030.07.01.19.00,0
ER-Odisha-PV,2030.07.01.20.00,0
ER-Odisha-PV,2030.07.01.21.00,0
ER-Odisha-PV,2030.07.01.22.00,0
ER-Odisha-PV,2030.07.01.23.00,0
ER-Odisha-PV,2030.10.31.00.00,0
ER-Odisha-PV,2030.10.31.01.00,0
ER-Odisha-PV,2030.10.31.02.00,0
ER-Odisha-PV,2030.10.31.03.00,0
ER-Odisha-PV,2030.10.31.04.00,0
ER-Odisha-PV,2030.10.31.05.00,0
ER-Odisha-PV,2030.10.31.06.00,0.0325
ER-Odisha-PV,2030.10.31.07.00,0.153
ER-Odisha-PV,2030.10.31.08.00,0.3395
ER-Odisha-PV,2030.10.31.09.00,0.5145
ER-Odisha-PV,2030.10.31.10.00,0.6365
ER-Odisha-PV,2030.10.31.11.00,0.7145
ER-Odisha-PV,2030.10.31.12.00,0.7275
ER-Odisha-PV,2030.10.31.13.00,0.6555
ER-Odisha-PV,2030.10.31.14.00,0.5165
ER-Odisha-PV,2030.10.31.15.00,0.323
ER-Odisha-PV,2030.10.31.16.00,0.1255
ER-Odisha-PV,2030.10.31.17.00,0.0175
ER-Odisha-PV,2030.10.31.18.00,0
ER-Odisha-PV,2030.10.31.19.00,0
ER-Odisha-PV,2030.10.31.20.00,0
ER-Odisha-PV,2030.10.31.21.00,0
ER-Odisha-PV,2030.10.31.22.00,0
ER-Odisha-PV,2030.10.31.23.00,0
ER-Sikkim-PV,2030.01.28.00.00,0
ER-Sikkim-PV,2030.01.28.01.00,0
ER-Sikkim-PV,2030.01.28.02.00,0
