load_zone,TIMEPOINT,zone_demand_mw
NER,2030.10.31.09.00,3845
NER,2030.10.31.10.00,3791
NER,2030.10.31.11.00,3776
NER,2030.10.31.12.00,3794
NER,2030.10.31.13.00,3860
NER,2030.10.31.14.00,3914
NER,2030.10.31.15.00,3972
NER,2030.10.31.16.00,4057
NER,2030.10.31.17.00,4563
NER,2030.10.31.18.00,5175
NER,2030.10.31.19.00,5171
NER,2030.10.31.20.00,5240
NER,2030.10.31.21.00,5210
NER,2030.10.31.22.00,4924
NER,2030.10.31.23.00,4451
NR,2030.07.01.00.00,103235
NR,2030.07.01.01.00,101435
NR,2030.07.01.02.00,99609
NR,2030.07.01.03.00,98918
NR,2030.07.01.04.00,97193
NR,2030.07.01.05.00,96929
NR,2030.07.01.06.00,95677
NR,2030.07.01.07.00,95674
NR,2030.07.01.08.00,96120
NR,2030.07.01.09.00,97362
NR,2030.07.01.10.00,98922
NR,2030.07.01.11.00,100179
NR,2030.07.01.12.00,101683
NR,2030.07.01.13.00,101827
NR,2030.07.01.14.00,102491
NR,2030.07.01.15.00,103406
NR,2030.07.01.16.00,101472
NR,2030.07.01.17.00,99818
NR,2030.07.01.18.00,97833
NR,2030.07.01.19.00,99076
NR,2030.07.01.20.00,105110
NR,2030.07.01.21.00,106662
NR,2030.07.01.22.00,106239
NR,2030.07.01.23.00,105426
NR,2030.10.31.00.00,94070
NR,2030.10.31.01.00,92031
NR,2030.10.31.02.00,88846
NR,2030.10.31.03.00,87115
NR,2030.10.31.04.00,86904
NR,2030.10.31.05.00,89834
NR,2030.10.31.06.00,94778
NR,2030.10.31.07.00,96159
NR,2030.10.31.08.00,92927
NR,2030.10.31.09.00,91496
NR,2030.10.31.10.00,91956
NR,2030.10.31.11.00,92760
NR,2030.10.31.12.00,93842
NR,2030.10.31.13.00,93192
NR,2030.10.31.14.00,92650
NR,2030.10.31.15.00,93075
NR,2030.10.31.16.00,91035
NR,2030.10.31.17.00,90199
NR,2030.10.31.18.00,92515
NR,2030.10.31.19.00,103185
NR,2030.10.31.20.00,102538
NR,2030.10.31.21.00,98481
NR,2030.10.31.22.00,94535
NR,2030.10.31.23.00,95572
SR,2030.07.01.00.00,76187
SR,2030.07.01.01.00,76868
SR,2030.07.01.02.00,75837
SR,2030.07.01.03.00,75038
SR,2030.07.01.04.00,75461
SR,2030.07.01.05.00,76212
SR,2030.07.01.06.00,77874
SR,2030.07.01.07.00,80584
SR,2030.07.01.08.00,80373
SR,2030.07.01.09.00,79047
SR,2030.07.01.10.00,79035
SR,2030.07.01.11.00,78437
SR,2030.07.01.12.00,78319
SR,2030.07.01.13.00,78237
SR,2030.07.01.14.00,77522
SR,2030.07.01.15.00,77803
SR,2030.07.01.16.00,76883
SR,2030.07.01.17.00,76675
SR,2030.07.01.18.00,75176
SR,2030.07.01.19.00,77501
SR,2030.07.01.20.00,80518
SR,2030.07.01.21.00,80236
SR,2030.07.01.22.00,80555
SR,2030.07.01.23.00,79617
SR,2030.10.31.00.00,76080
SR,2030.10.31.01.00,76990
SR,2030.10.31.02.00,75773
SR,2030.10.31.03.00,74759
SR,2030.10.31.04.00,74524
SR,2030.10.31.05.00,75497
SR,2030.10.31.06.00,77740
SR,2030.10.31.07.00,80214
SR,2030.10.31.08.00,81034
SR,2030.10.31.09.00,80938
SR,2030.10.31.10.00,81149
SR,2030.10.31.11.00,80623
SR,2030.10.31.12.00,80428
SR,2030.10.31.13.00,80552
SR,2030.10.31.14.00,79527
SR,2030.10.31.15.00,79870
SR,2030.10.31.16.00,79729
SR,2030.10.31.17.00,79348
SR,2030.10.31.18.00,80437
SR,2030.10.31.19.00,84211
SR,2030.10.31.20.00,83259
SR,2030.10.31.21.00,82732
SR,2030.10.31.22.00,82874
SR,2030.10.31.23.00,80856
WR,2030.07.01.00.00,90749
WR,2030.07.01.01.00,88660
WR,2030.07.01.02.00,87307
WR,2030.07.01.03.00,85990
WR,2030.07.01.04.00,85058
WR,2030.07.01.05.00,85681
WR,2030.07.01.06.00,88805
WR,2030.07.01.07.00,90221
WR,2030.07.01.08.00,90685
WR,2030.07.01.09.00,91539
WR,2030.07.01.10.00,92925
WR,2030.07.01.11.00,93359
WR,2030.07.01.12.00,92890
WR,2030.07.01.13.00,91808
WR,2030.07.01.14.00,91972
WR,2030.07.01.15.00,92540
WR,2030.07.01.16.00,92835
WR,2030.07.01.17.00,91625
WR,2030.07.01.18.00,89769
WR,2030.07.01.19.00,89771
WR,2030.07.01.20.00,94655
WR,2030.07.01.21.00,93774
WR,2030.07.01.22.00,92627
WR,2030.07.01.23.00,92315
WR,2030.10.31.00.00,104601
WR,2030.10.31.01.00,104072
WR,2030.10.31.02.00,102709
WR,2030.10.31.03.00,101832
WR,2030.10.31.04.00,100808
WR,2030.10.31.05.00,101290
WR,2030.10.31.06.00,103073
WR,2030.10.31.07.00,105570
WR,2030.10.31.08.00,105974
WR,2030.10.31.09.00,106174
WR,2030.10.31.10.00,107935
WR,2030.10.31.11.00,110162
WR,2030.10.31.12.00,109789
WR,2030.10.31.13.00,109366
WR,2030.10.31.14.00,109140
WR,2030.10.31.15.00,110764
WR,2030.10.31.16.00,110880
WR,2030.10.31.17.00,108811
WR,2030.10.31.18.00,104912
WR,2030.10.31.19.00,109136
WR,2030.10.31.20.00,107569
WR,2030.10.31.21.00,105107
WR,2030.10.31.22.00,103711
WR,2030.10.31.23.00,105135
ER,2030.07.01.00.00,36622
ER,2030.07.01.01.00,35305
ER,2030.07.01.02.00,34726
ER,2030.07.01.03.00,34284
ER,2030.07.01.04.00,33914
ER,2030.07.01.05.00,33755
ER,2030.07.01.06.00,32831
ER,2030.07.01.07.00,32697
ER,2030.07.01.08.00,32709
ER,2030.07.01.09.00,32982
ER,2030.07.01.10.00,33231
ER,2030.07.01.11.00,33028
ER,2030.07.01.12.00,33056
ER,2030.07.01.13.00,32874
ER,2030.07.01.14.00,32494
ER,2030.07.01.15.00,32972
ER,2030.07.01.16.00,32997
ER,2030.07.01.17.00,32949
ER,2030.07.01.18.00,33514
ER,2030.07.01.19.00,37946
ER,2030.07.01.20.00,39370
ER,2030.07.01.21.00,39574
ER,2030.07.01.22.00,38703
ER,2030.07.01.23.00,37555
ER,2030.10.31.00.00,37908
ER,2030.10.31.01.00,36798
ER,2030.10.31.02.00,36351
ER,2030.10.31.03.00,36316
ER,2030.10.31.04.00,36407
ER,2030.10.31.05.00,36740
ER,2030.10.31.06.00,35142
ER,2030.10.31.07.00,33943
ER,2030.10.31.08.00,34032
ER,2030.10.31.09.00,34122
ER,2030.10.31.10.00,34162
ER,2030.10.31.11.00,34134
ER,2030.10.31.12.00,34094
ER,2030.10.31.13.00,33964
ER,2030.10.31.14.00,33546
ER,2030.10.31.15.00,33792
ER,2030.10.31.16.00,33745
ER,2030.10.31.17.00,34943
ER,2030.10.31.18.00,41503
ER,2030.10.31.19.00,42085
ER,2030.10.31.20.00,42031
ER,2030.10.31.21.00,41281
ER,2030.10.31.22.00,39819
ER,2030.10.31.23.00,38574
NER,2040.01.02.00.00,5709
NER,2040.01.02.01.00,5295
NER,2040.01.02.02.00,5137
NER,2040.01.02.03.00,5069
NER,2040.01.02.04.00,5108
NER,2040.01.02.05.00,5320
NER,2040.01.02.06.00,5844
