"scenario_name","scenario_profile","region","eres_case","tech_scenario","carbon_case","solver","solver_options_string","crossover"
"Scen_CN_Low_C_BaseRGES_009","CN_BR_C","CN","BR","C","CE009","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_010","CN_BR_C","CN","BR","C","CE010","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_011","CN_BR_C","CN","BR","C","CE011","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_012","CN_BR_C","CN","BR","C","CE012","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_013","CN_BR_C","CN","BR","C","CE013","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_014","CN_BR_C","CN","BR","C","CE014","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_015","CN_BR_C","CN","BR","C","CE015","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_000","CN_HR_C","CN","HR","C","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_001","CN_HR_C","CN","HR","C","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_002","CN_HR_C","CN","HR","C","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_003","CN_HR_C","CN","HR","C","CE003","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_004","CN_HR_C","CN","HR","C","CE004","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_005","CN_HR_C","CN","HR","C","CE005","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_HighRGES_006","CN_HR_C","CN","HR","C","CE006","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
